#	2.9478756625350555E-7	Directed	graph	(each	unordered	pair	of	nodes	is	saved	once):	soc-Epinions1.txt
(each	4.4664782765682656E-7
0	0.0010627091763438757	112
1	0.001340006013666334	3
10	4.2459235792713417E-4	90
100	4.897404100691575E-4	3454
1000	4.87382109539129E-5	847
10000	1.8669879196055345E-5	737
10001	1.3658490569745754E-5	24954
10002	8.71588570889531E-5	8363
10003	1.6999416320618815E-5	3717
10004	2.9478756625350555E-7	395
10005	2.9478756625350555E-7	395
10006	2.9478756625350555E-7	395
10007	2.9478756625350555E-7	655
10008	2.9478756625350555E-7	1561
10009	2.9478756625350555E-7	395
1001	4.3726822327603304E-5	34
10010	5.306176192563099E-6	395
10011	3.635713317126568E-6	1024
10012	2.9478756625350555E-7	849
10013	1.965250441690037E-6	6144
10014	3.635713317126568E-6	5100
10015	2.9478756625350555E-7	395
10016	1.965250441690037E-6	395
10017	5.306176192563099E-6	663
10018	2.9478756625350555E-7	395
10019	2.9478756625350555E-7	395
1002	1.4729552060466848E-4	16680
10020	2.9478756625350555E-7	3189
10021	3.635713317126568E-6	849
10022	5.306176192563099E-6	1315
10023	1.965250441690037E-6	395
10024	3.635713317126568E-6	395
10025	2.9478756625350555E-7	395
10026	2.9478756625350555E-7	395
10027	2.9478756625350555E-7	395
10028	1.965250441690037E-6	47626
10029	3.2033582199547595E-5	5952
1003	1.322613547257396E-4	1712
10030	2.2010804946928405E-5	3174
10031	1.965250441690037E-6	395
10032	5.306176192563099E-6	32279
10033	2.9478756625350555E-7	395
10034	2.9478756625350555E-7	47635
10035	5.306176192563099E-6	432
10036	1.1988027694309222E-5	21812
10037	2.9478756625350555E-7	699
10038	2.9478756625350555E-7	396
10039	2.9478756625350555E-7	4084
1004	1.957389439923282E-4	2560
10040	3.635713317126568E-6	71388
10041	2.9478756625350555E-7	396
10042	2.9478756625350555E-7	396
10043	2.9478756625350555E-7	396
10044	3.635713317126568E-6	396
10045	2.0340342071491875E-5	11515
10046	2.9478756625350555E-7	397
10047	3.635713317126568E-6	1601
10048	1.965250441690037E-6	1699
10049	3.635713317126568E-6	1290
1005	1.7235246373621663E-4	8
10050	2.9478756625350555E-7	397
10051	2.9478756625350555E-7	397
10052	6.97663906799963E-6	36482
10053	8.647101943436162E-6	2623
10054	2.9478756625350555E-7	398
10055	2.9478756625350555E-7	398
10056	2.9478756625350555E-7	1619
10057	6.97663906799963E-6	4782
10058	1.0317564818872692E-5	12963
10059	2.9478756625350555E-7	398
1006	8.214746846264351E-5	18
10060	1.0052256009244535E-4	1814
10061	2.0340342071491875E-5	39636
10062	2.7022193573238E-5	4958
10063	1.1988027694309222E-5	28787
10064	9.049978283982615E-5	10314
10065	1.1988027694309222E-5	31704
10066	3.635713317126568E-6	47683
10067	1.965250441690037E-6	398
10068	8.647101943436162E-6	4359
10069	3.635713317126568E-6	4828
1007	5.040867382934943E-5	863
10070	3.2033582199547595E-5	5965
10071	2.2010804946928405E-5	1540
10072	1.965250441690037E-6	399
10073	1.965250441690037E-6	399
10074	8.647101943436162E-6	12748
10075	2.9478756625350555E-7	399
10076	8.647101943436162E-6	12748
10077	5.306176192563099E-6	9508
10078	1.5328953445182282E-5	646
10079	6.97663906799963E-6	13035
1008	1.9740940686776475E-4	8
10080	6.97663906799963E-6	918
10081	3.635713317126568E-6	2051
10082	1.965250441690037E-6	400
10083	1.965250441690037E-6	400
10084	8.647101943436162E-6	1398
10085	7.713607983633392E-5	20014
10086	2.9478756625350555E-7	400
10087	2.9478756625350555E-7	401
10088	2.9478756625350555E-7	401
10089	1.965250441690037E-6	401
1009	1.556478349818512E-4	22
10090	2.9478756625350555E-7	401
10091	5.306176192563099E-6	4068
10092	2.9478756625350555E-7	401
10093	2.9478756625350555E-7	47697
10094	1.5328953445182282E-5	401
10095	1.965250441690037E-6	401
10096	3.635713317126568E-6	1755
10097	1.8669879196055345E-5	637
10098	2.9478756625350555E-7	1067
10099	2.9478756625350555E-7	401
101	5.281610562041969E-4	1075
1010	2.3681267822364935E-5	12
10100	2.9478756625350555E-7	401
10101	3.635713317126568E-6	3112
10102	2.9478756625350555E-7	47701
10103	2.9478756625350555E-7	402
10104	5.306176192563099E-6	47702
10105	2.9478756625350555E-7	402
10106	8.381793133808004E-5	14795
10107	5.709052533109556E-5	5895
10108	2.869265644867453E-5	402
10109	1.8571616673970895E-4	47711
1011	1.6734107510990698E-4	16771
10110	5.37495995802225E-5	19744
10111	3.7044970825857184E-5	7191
10112	1.1988027694309222E-5	35737
10113	4.0385896576730244E-5	6610
10114	5.306176192563099E-6	403
10115	1.965250441690037E-6	403
10116	6.97663906799963E-6	1263
10117	5.306176192563099E-6	3398
10118	2.9478756625350555E-7	403
10119	2.9478756625350555E-7	403
1012	7.546561696089738E-5	663
10120	7.713607983633392E-5	404
10121	2.9478756625350555E-7	404
10122	2.9478756625350555E-7	404
10123	8.647101943436162E-6	4276
10124	2.9478756625350555E-7	404
10125	2.9478756625350555E-7	6987
10126	3.635713317126568E-6	71388
10127	2.9478756625350555E-7	1008
10128	2.9478756625350555E-7	404
10129	2.9478756625350555E-7	6947
1013	1.6901153798534353E-4	447
10130	2.7022193573238E-5	118
10131	1.965250441690037E-6	14993
10132	3.3704045074984125E-5	47736
10133	8.647101943436162E-6	1622
10134	1.0317564818872692E-5	47744
10135	2.9478756625350555E-7	404
10136	2.9478756625350555E-7	404
10137	6.97663906799963E-6	405
10138	2.9478756625350555E-7	8849
10139	2.9478756625350555E-7	405
1014	6.217069772286406E-4	71403
10140	2.9478756625350555E-7	405
10141	2.9478756625350555E-7	405
10142	2.9478756625350555E-7	405
10143	2.9478756625350555E-7	405
10144	6.97663906799963E-6	3428
10145	1.8669879196055345E-5	3169
10146	2.9478756625350555E-7	406
10147	2.9478756625350555E-7	1423
10148	1.965250441690037E-6	7883
10149	2.9478756625350555E-7	406
1015	9.718163434157229E-5	74
10150	1.965250441690037E-6	406
10151	1.965250441690037E-6	407
10152	1.5328953445182282E-5	47753
10153	8.647101943436162E-6	6949
10154	2.9478756625350555E-7	20209
10155	2.9478756625350555E-7	18261
10156	3.2033582199547595E-5	5113
10157	2.9478756625350555E-7	2068
10158	1.965250441690037E-6	1460
10159	2.869265644867453E-5	2160
1016	2.625574590097899E-4	6844
10160	1.965250441690037E-6	408
10161	2.9478756625350555E-7	408
10162	3.635713317126568E-6	2607
10163	1.8669879196055345E-5	6636
10164	1.965250441690037E-6	47556
10165	1.6999416320618815E-5	9007
10166	3.635713317126568E-6	42643
10167	5.306176192563099E-6	408
10168	1.6999416320618815E-5	35841
10169	2.9478756625350555E-7	408
1017	5.040867382934943E-5	3462
10170	1.1889765172224727E-4	15114
10171	2.7022193573238E-5	51
10172	2.9478756625350555E-7	408
10173	2.9478756625350555E-7	408
10174	2.9478756625350555E-7	408
10175	2.9478756625350555E-7	408
10176	2.2010804946928405E-5	4037
10177	5.306176192563099E-6	2156
10178	8.647101943436162E-6	5144
10179	2.9478756625350555E-7	409
1018	1.1054533734506455E-4	2371
10180	2.9478756625350555E-7	409
10181	2.9478756625350555E-7	409
10182	8.647101943436162E-6	40
10183	1.0317564818872692E-5	71400
10184	1.0317564818872692E-5	295
10185	2.9478756625350555E-7	409
10186	2.9478756625350555E-7	409
10187	6.97663906799963E-6	1902
10188	2.9478756625350555E-7	409
10189	2.9478756625350555E-7	47789
1019	6.711330258371474E-5	7
10190	6.97663906799963E-6	15054
10191	1.965250441690037E-6	2781
10192	5.37495995802225E-5	2411
10193	2.9478756625350555E-7	410
10194	1.965250441690037E-6	639
10195	1.5328953445182282E-5	47790
10196	1.1988027694309222E-5	4939
10197	2.9478756625350555E-7	410
10198	2.869265644867453E-5	3203
10199	1.965250441690037E-6	25411
102	7.052301210004654E-4	1622
1020	4.2960374655344366E-4	16838
10200	1.965250441690037E-6	3203
10201	3.635713317126568E-6	410
10202	1.0317564818872692E-5	2246
10203	2.9478756625350555E-7	18297
10204	1.1988027694309222E-5	103
10205	3.635713317126568E-6	38728
10206	6.97663906799963E-6	18
10207	1.1988027694309222E-5	6381
10208	1.8669879196055345E-5	410
10209	1.1988027694309222E-5	3256
1021	1.9740940686776475E-4	10455
10210	2.3681267822364935E-5	2446
10211	1.1988027694309222E-5	10218
10212	2.2010804946928405E-5	1344
10213	2.9478756625350555E-7	588
10214	6.97663906799963E-6	411
10215	2.9478756625350555E-7	411
10216	2.9478756625350555E-7	411
10217	2.9478756625350555E-7	411
10218	5.306176192563099E-6	9729
10219	1.1988027694309222E-5	18
1022	1.0720441159419148E-4	581
10220	1.965250441690037E-6	7687
10221	3.635713317126568E-6	374
10222	5.306176192563099E-6	9729
10223	2.9478756625350555E-7	411
10224	1.965250441690037E-6
10225	2.0340342071491875E-5	9869
10226	6.97663906799963E-6
10227	3.036311932411106E-5	11479
10228	1.965250441690037E-6	412
10229	2.9478756625350555E-7	412
1023	5.983204969725297E-4	1751
10230	2.9478756625350555E-7	18
10231	3.635713317126568E-6	2995
10232	3.635713317126568E-6	413
10233	5.306176192563099E-6	413
10234	3.036311932411106E-5	2966
10235	2.9478756625350555E-7	413
10236	2.9478756625350555E-7	413
10237	2.9478756625350555E-7	413
10238	2.9478756625350555E-7	295
10239	2.2010804946928405E-5	3984
1024	5.064450388235224E-4	715
10240	3.036311932411106E-5	413
