about,6121
be,24090
by,15659
her,16121
up,7138
you,28585
,196155
been,6037
down,4100
got,4047
have,18359
is,32440
me,11514
my,22712
she,16153
their,6428
them,5581
this,18019
upon,4160
we,13668
will,11037
but,25031
do,5427
had,21570
it,47495
like,4217
no,7952
on,12904
the,197246
then,6525
thy,4028
was,45231
which,7409
are,7566
as,26448
into,4263
one,9926
our,4088
they,14089
all,11971
at,13689
of,110211
that,51312
your,11160
his,28172
out,7891
when,8507
who,4428
with,28451
could,6614
he,41930
i,67491
in,64172
or,8610
were,9682
would,9567
from,9433
has,5077
its,4523
other,4002
so,13588
some,4462
there,8909
what,5911
a,93963
an,8104
and,158395
for,29307
if,7613
it.,4557
not,29095
said,5039
see,4020
to,103438
any,5067
him,8425
thou,5138
